number	mergeable	isDraft	state	class	title	headRef	url
1605	CONFLICTING	True	OPEN	CONFLICTING	fix(ui): TeamV2 Unit Designer tabs + global ctrlShow (A2 createDialog)	fix/teamv2-unit-designer-ctrlshow	https://github.com/rayswaynl/a2waspwarfare/pull/1605
1606	MERGEABLE	True	OPEN	MERGEABLE	fix: preserve respawn backpack cargo and EASA pricing	codex/loadout-gear-bughunt-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1606
1607	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): nil-safe buy-unit queue release so abort refunds always run	fix/aicom-produce-sidecap-recheck-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1607
1608	CONFLICTING	True	OPEN	CONFLICTING	fix(alife): knowsAbout crew expand + B5 reveal target + Man-only capture reveal	fix/alife-knowsabout-reveal-crew-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1608
1609	CONFLICTING	True	OPEN	CONFLICTING	fix(towns): capture ownership ΓÇö bulk camp SV heal + no bulk bounty	fix/town-capture-ownership-bulk-camp-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1609
1610	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): service tick refuels ground hulls and detours on low fuel	fix/aicom-service-refuel-ground-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1610
1611	CONFLICTING	True	OPEN	CONFLICTING	fix(alife): continuous SML retreat under fire + wheeled armor overwatch	fix/alife-suppression-stance-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1611
1612	MERGEABLE	True	OPEN	MERGEABLE	fix(ft/respawn): charge-after-success, start recheck, free-mode dedupe, mobile side gate	fix/ft-mobile-respawn-bughunt-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1612
1614	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): enforce HQ range on fallback placement	codex/aicom-hqrange-fallback-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1614
1615	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): town detect range hysteresis (active 1.25x > idle 1x)	fix/alife-town-detect-hysteresis-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1615
1616	MERGEABLE	True	OPEN	MERGEABLE	fix(vote): election tally latch + ballot sanitize + claim/vote grant race	fix/commander-election-vote-tally-latch-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1616
1617	MERGEABLE	True	OPEN	MERGEABLE	fix(client): type-safe shared factory queue tokens (AI SCALAR vs player STRING)	fix/type-mismatch-queue-token-coercion-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1617
1618	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): man QUERYUNITTURRETS seats in Common_CreateTeam	fix/aicom-createteam-turret-crew-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1618
1619	MERGEABLE	True	OPEN	MERGEABLE	fix(supply): cargo transfer world revalidation + deliverer + exitWith latch	fix/supply-transport-cargo-bughunt-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1619
1620	MERGEABLE	True	OPEN	MERGEABLE	fix(guer-drones): align GUER SCUD menu cost to the server charge (WFBE_C_SCUD_COST)	claude/guer-scud-cost-align-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1620
1621	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): group-first teardown for ambient/wildcard event despawns	fix/alife-ambient-event-triggers-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1621
1622	MERGEABLE	True	OPEN	MERGEABLE	fix(jip): disconnect must not delete preserved AI team leader	fix/mission-core-disconnect-slot-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1622
1623	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): bound water waypoint redraws + uniform random index draws	fix/sqf-randomness-nondeterminism-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1623
1624	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): config ingest ΓÇö paramsArray bounds, funds-sink lobby default, team-cap fallbacks	fix/aicom-config-param-ingest-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1624
1625	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): gate AI_Com_Upgrade research on LINKS (UR-H1)	fix/aicom-config-param-bughunt-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1625
1626	MERGEABLE	True	OPEN	MERGEABLE	fix(markers): unique paraDZ names + ICBM strike marker pre-delete	fix/sqf-marker-object-leaks-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1626
1628	MERGEABLE	True	OPEN	MERGEABLE	fix(sqf): eventhandler hygiene ΓÇö re-index-safe remove, no double Blink, skin restore	fix/sqf-eh-hygiene-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1628
1629	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): order-dispatch authority ΓÇö commander/same-side binds for ai-command/request-unit/arty/focus/TeamUpdate	fix/aicom-order-authority-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1629
1630	CONFLICTING	True	OPEN	CONFLICTING	fix(mission-core): PV handler bounds + enqueue/dequeue commander bind	fix/mission-core-pv-bounds-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1630
1631	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): despawn budget integrity (HC shells + capture reclaim + GUER mid-sweep)	fix/alife-despawn-budget-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1631
1632	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): order-dispatch authority ΓÇö same-side bind for reinforce/posture/fieldorder (siblings #1629 missed)	fix/aicom-order-auth-siblings-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1632
1633	MERGEABLE	True	OPEN	MERGEABLE	fix(economy): funds transfer/donation authority envelope + atomic debit	fix/economy-funds-authority-g1606-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1633
1636	MERGEABLE	True	OPEN	MERGEABLE	fix(sqf): object/missionNamespace var pollution ΓÇö CBR registry, FPV PV, disconnect keys	fix/sqf-object-var-namespace-g1606-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1636
1641	MERGEABLE	True	OPEN	MERGEABLE	fix(buyunit): factory/purchase PV authority ΓÇö FOB envelope, sell envelope, BuyUnit class/side/team	fix/buyunit-payload-authority-g1606-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1641
1655	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): tear down GUER carrier CAP when the naval HVT is captured	claude/naval-cap-capture-teardown-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1655
1656	MERGEABLE	True	OPEN	MERGEABLE	fix(gdir): wire dead post-wipe suppression timer (ledger[4] read at :220 but never written) [flag AICOMV2_GDIR_SUPPRESS_WIRE default 0]	claude/gdir-suppress-timer-wire-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1656
1659	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): coordinate-space - air 2D proximity + RadiusHold 2D ground-snap	fix/sqf-coord-space-r25-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1659
1660	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): town-defender scalar skill wiped sub-skill spread (setSkill order)	claude/alife-town-defender-skill-order-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1660
1661	MERGEABLE	True	OPEN	MERGEABLE	fix(support): carrier SCUD must debit the firing side's own wallet (team/side bind)	claude/scudstrike-team-side-bind-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1661
1662	CONFLICTING	True	OPEN	CONFLICTING	fix(aicom): topology - naval HVT is not ground-front-adjacent (r26)	fix/aicom-town-adjacency-topology-r26-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1662
1669	CONFLICTING	True	OPEN	CONFLICTING	fix(hc-lobby-lock): anchor the lobby-lock deadline on mission-live	fable/hc-lobby-lock-mission-live-anchor-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1669
1676	CONFLICTING	True	OPEN	CONFLICTING	fix(mission-core): construction abort live-count rollback + AI live-inc + BuildingKilled bounds (r31)	bughunt/construction-livecount-r31-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1676
1679	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): getVariable fallback + setVariable public/JIP hygiene (r30)	fix/getvar-setvar-public-jip-r30-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1679
1680	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): createVehicle/crew init fail-clean + defense UnitsCreated hygiene (r32)	fix/createvehicle-crew-init-locality-grok1606-r32-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1680
1682	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): ammo paradrop + UAV create/crew fail-clean (r34)	fix/paraammo-uav-failclean-grok1606-r34-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1682
1684	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): cached-group wakeup restores town patrol/defense fidelity (r32)	fix/alife-wakeup-cache-r32-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1684
1686	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): GDIR QRF create/crew + patrol convoy + airdef chute + HQ wreck fail-clean (r37)	fix/gdir-qrf-patrol-hqwreck-failclean-grok1606-r37-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1686
1687	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): paratroop/paravehi create/crew + def wall + USV fail-clean (r38)	fix/paratroop-paravehi-defwall-usv-failclean-grok1606-r38-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1687
1692	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): camp repair + naval HVT SCUD/camps/CAP L39 + HandleDefense fail-clean (r40)	fix/naval-camp-repair-cap-handledefense-failclean-grok1606-r40-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1692
1699	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): CoIn border/preview/helper + headbug Lada1 + DropRPG holder fail-clean (r44)	fix/coin-headbug-rpgdrop-failclean-grok1606-r44-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1699
1700	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): CoIn border/preview/helper + headbug Lada1 + DropRPG WeaponHolder fail-clean (r44)	fix/coin-headbug-rpgdrop-failclean-r44-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1700
1715	MERGEABLE	True	OPEN	MERGEABLE	fix(mission-core): death/observer camera lifecycle teardown residuals (r36)	fix/spectator-observer-camera-lifecycle-r36-g1606	https://github.com/rayswaynl/a2waspwarfare/pull/1715
1718	CONFLICTING	True	OPEN	CONFLICTING	fix(alife): weaponholder loot persistence ΓÇö locality + min-age + prox hold (r37)	fix/alife-dropped-gear-weaponholder-loot-persistence-r37-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1718
1723	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): droppeditems/ruins cleaners + HQ kill + sortie + def-ops fail-clean (r55)	fix/droppeditems-ruins-hqkill-sortie-defops-failclean-grok1606-r55-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1723
1726	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): townAI cleanup + AirResp + groupsGC + Produce + Trash fail-clean (r56)	fix/townai-airresp-groupsgc-produce-trash-failclean-grok1606-r56-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1726
1738	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): rally regroup hold + live dest revalidation (r61)	fix/alife-rally-regroup-r61-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1738
1750	CONFLICTING	True	OPEN	CONFLICTING	fix(alife): corpse/wreck reap integrity ΓÇö dead-crew purge + airlift requeue (r66)	fix/alife-corpse-wreck-reap-r66-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1750
1757	CONFLICTING	True	OPEN	CONFLICTING	fix(aicom): paradrop tasking ΓÇö AI CD release + objective rebind (r70)	fix/aicom-paradrop-tasking-objective-r70-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1757
1758	CONFLICTING	True	OPEN	CONFLICTING	fix(mission-core): teamswap join fail-closed + RequestJoin null/target (r70)	fix/mission-teamswap-join-failclosed-r70-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1758
1759	MERGEABLE	True	OPEN	MERGEABLE	Fix ICBM radiation dealing zero damage to players (locality)	claude/fix-icbm-radiation-player-locality-r69-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1759
1764	MERGEABLE	True	OPEN	MERGEABLE	fix(mission-core): vote/commander authority ΓÇö income percent PVF + transfer bind (r71)	fix/mission-vote-commander-authority-r71-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1764
1765	MERGEABLE	True	OPEN	MERGEABLE	fix(sqf): vehicle crew seat getIn/getOut lifecycle integrity (r71b)	fix/sqf-crew-seat-getin-getout-r71b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1765
1766	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): HC order rebind on HQ-strike edge-lost recall (r72)	fix/aicom-hqstrike-recall-order-r72-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1766
1767	CONFLICTING	True	OPEN	CONFLICTING	fix(sqf): loadout equip null integrity ΓÇö EquipUnit/Backpack/Vehicle + EASA + custom gear (r72b)	fix/sqf-loadout-equip-null-r72b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1767
1768	CONFLICTING	True	OPEN	CONFLICTING	fix(mission-core): JIP re-push WFBE_HQ_REPAIR_AVG_SEC for correct MHQ repair-cost scaling on late joiners (r71)	claude/jip-repush-hq-repair-avg-r71	https://github.com/rayswaynl/a2waspwarfare/pull/1768
1769	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): order behaviour/formation/speed mode assignment integrity (r72)	fix/aicom-order-behaviour-formation-speed-r72-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1769
1770	MERGEABLE	True	OPEN	MERGEABLE	fix(sqf): radio SideMessage + map marker text + waypoint type + chat/CM fail-clean (r73b)	fix/sqf-radio-marker-waypoint-chat-r73b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1770
1771	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): apply COMBAT/RED air posture AFTER AIPatrol (W13/W22/PatrolAirPass) (r72)	claude/aicom-air-posture-aipatrol-clobber-r72	https://github.com/rayswaynl/a2waspwarfare/pull/1771
1772	CONFLICTING	True	OPEN	CONFLICTING	fix(mission-core): player HALO occupant gate + landing invuln (r72)	fix/mission-halo-airborne-state-r72-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1772
1773	CONFLICTING	True	OPEN	CONFLICTING	fix(mission-core): player parachute/HALO airborne state integrity (r72)	fix/mission-parachute-airborne-r72-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1773
1775	MERGEABLE	True	OPEN	MERGEABLE	fix(sqf): player vehicle utility actions fail-clean (push/taxi/IR/sell/flip r74)	fix/sqf-player-vehicle-utility-actions-r74-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1775
1776	MERGEABLE	True	OPEN	MERGEABLE	fix(sqf): player construction/service actions fail-clean (cancel/eject/MHQ/build r75)	fix/sqf-player-construction-service-actions-r75-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1776
1777	MERGEABLE	True	OPEN	MERGEABLE	fix(sqf): skill actions + setSkill + daynight + arty shells + endgame score (r76b)	fix/sqf-skill-weather-score-arty-actions-r76b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1777
1778	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): retreat/withdrawal/fallback after town loss (r76)	fix/aicom-retreat-withdrawal-fallback-r76-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1778
1779	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): USV boat patrol driver-lost reap + water-only unstuck (r76)	fix/alife-usv-driver-lost-reap-r76-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1779
1780	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): USV coastal boat patrol lifecycle integrity (r77)	fix/alife-naval-boat-patrol-lifecycle-r77-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1780
1781	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): town attack pathfind fail-clean (null leader/hops/camps/path-pos safe r78b)	fix/aicom-town-attack-pathfind-r78b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1781
1782	MERGEABLE	True	OPEN	MERGEABLE	fix(mission-core): match stats emission + end-round report integrity (r78)	fix/mission-match-stats-endround-r78-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1782
1783	MERGEABLE	True	OPEN	MERGEABLE	fix(mission-core): upgrade UI + queue integrity fail-clean (r79b)	fix/upgrade-ui-queue-r79b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1783
1784	MERGEABLE	True	OPEN	MERGEABLE	fix(sqf): trigger/waypoint statement-scope integrity (r79)	fix/sqf-trigger-waypoint-scope-r79-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1784
1785	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): cancel undelivered airlift on order retarget/abort (r78)	fix/aicom-order-cancel-airlift-clear-r78-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1785
1786	MERGEABLE	True	OPEN	MERGEABLE	feat(spectator): v4 streaming pass ΓÇö smooth director cam, fight-gated town cams, autostart + free-cam overhaul	fable/spectator-v4-streaming-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1786
1787	MERGEABLE	True	OPEN	MERGEABLE	fix(mission-core): player respawn gear + CM residual + HC PV + barracks queue + AAR detect (r80b)	fix/player-respawn-cm-hc-barracks-radar-r80b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1787
1788	MERGEABLE	True	OPEN	MERGEABLE	fix(alife): air defence / MANPAD static site lifecycle integrity (r80)	fix/alife-airdef-manpad-r80-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1788
1789	MERGEABLE	True	OPEN	MERGEABLE	fix(mission-core): UAV terminal control handover lifecycle (r78)	fix/uav-terminal-handover-r78-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1789
1790	MERGEABLE	True	OPEN	MERGEABLE	fix(sqf): permanent-daylight clamp on all machines + JIP band fold (r78)	fix/daytime-skiptime-wrap-r78-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1790
1791	MERGEABLE	True	OPEN	MERGEABLE	docs: worktree triage report 2026-07-31	triage/worktree-triage-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1791
1792	MERGEABLE	True	OPEN	MERGEABLE	feat(ops): add -autoInit to server_launch.cmd (cold-boot lobby-idle fix)	kimi/ops-server-launch-autoinit	https://github.com/rayswaynl/a2waspwarfare/pull/1792
1793	MERGEABLE	True	OPEN	MERGEABLE	feat(lane194): victory-pack hold-ticks + HQ-loss winner + roundend flush [flags]	codex/fold-lane194-victory-pack-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1793
1794	MERGEABLE	True	OPEN	MERGEABLE	perf(server): antistack mainLoop active-slice audit (r2 fold)	codex/fold-perf-antistack-aicom-cleaner-r2-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1794
1795	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): preserve HC team marker feed on leader handoff (map-clarity fold)	codex/fold-map-clarity-team-marker-null-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1795
1796	MERGEABLE	True	OPEN	LINEAGE-HOLD	fix(spectator): parenthesise the IsRealPlayer Call so ! does not negate the array	fable/isrealplayer-call-precedence-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1796
1797	MERGEABLE	True	OPEN	MERGEABLE	fix(lobby): production mission descriptions, and drop the build number that rots	fix/mission-description-evergreen-20260801	https://github.com/rayswaynl/a2waspwarfare/pull/1797
