number	mergeable	isDraft	createdAt	updatedAt	headRef	baseRef	author	title	url
1399	CONFLICTING	True	25/07/2026 10:32:21	27/07/2026 11:06:33	claude/u2-harden-attackwave-details-20260725	master	rayswaynl	fix(security): bind ATTACK_WAVE_DETAILS activation to requester's own side	https://github.com/rayswaynl/a2waspwarfare/pull/1399
1401	MERGEABLE	True	25/07/2026 10:34:02	27/07/2026 11:06:34	claude/u2-harden-attackwave-init-20260725	master	rayswaynl	fix(security): re-derive ATTACK_WAVE_INIT discount input from server supply	https://github.com/rayswaynl/a2waspwarfare/pull/1401
1404	CONFLICTING	True	25/07/2026 10:41:19	27/07/2026 11:06:36	claude/u2-harden-supplymission-20260725	master	rayswaynl	harden(economy): server-owned supply-mission payout, watcher cap, UID derivation	https://github.com/rayswaynl/a2waspwarfare/pull/1404
1436	CONFLICTING	True	25/07/2026 12:20:17	27/07/2026 11:06:37	codex/sidepatrol-registry-authority-20260725	master	rayswaynl	fix: make side-patrol registry and convoy payout server-authoritative	https://github.com/rayswaynl/a2waspwarfare/pull/1436
1464	CONFLICTING	True	25/07/2026 20:21:17	27/07/2026 11:06:40	fable/aicom-lategame-teleport-20260725	master	rayswaynl	feat(aicom): late-game teleport of base-idle AI teams to friendly frontline towns [flags, default 0]	https://github.com/rayswaynl/a2waspwarfare/pull/1464
1530	MERGEABLE	True	27/07/2026 12:25:35	27/07/2026 12:25:35	codex/main-07270840-1-usv-coastal-tag-init-race-20260727	master	rayswaynl	fix: wait for populated USV town roster	https://github.com/rayswaynl/a2waspwarfare/pull/1530
1536	MERGEABLE	True	27/07/2026 22:12:51	27/07/2026 22:12:51	claude/earplugs-full-sfx-20260728	master	rayswaynl	fix(earplugs): duck all effect SFX and restore effects volume on toggle-off	https://github.com/rayswaynl/a2waspwarfare/pull/1536
1537	MERGEABLE	True	27/07/2026 22:18:38	27/07/2026 22:18:38	codex/main-07270548-1-manned-defences	master	rayswaynl	fix: preserve static-defense crew fallback at group cap	https://github.com/rayswaynl/a2waspwarfare/pull/1537
1540	MERGEABLE	True	27/07/2026 23:22:02	27/07/2026 23:22:02	codex/codex-main-07271028-1-teamsfound-chunking	master	rayswaynl	fix(aicom): chunk founding hot scans	https://github.com/rayswaynl/a2waspwarfare/pull/1540
1543	CONFLICTING	True	28/07/2026 04:40:06	28/07/2026 04:40:07	codex/fob-v1-engineer-20260728	master	rayswaynl	feat(fob): forward operating base v1 - engineer/repair-truck built FOB [flag WFBE_C_STRUCTURES_FOB default 1]	https://github.com/rayswaynl/a2waspwarfare/pull/1543
1544	MERGEABLE	True	28/07/2026 04:45:50	28/07/2026 04:45:50	codex/main-07280026-2-fortif-unbuildable	master	rayswaynl	fix: preserve fortification preview color	https://github.com/rayswaynl/a2waspwarfare/pull/1544
1545	MERGEABLE	True	28/07/2026 05:00:22	28/07/2026 05:00:22	codex/main-07270715-2-usv-aa-role-refill-20260728	codex/main-07270840-1-usv-coastal-tag-init-race-20260727	rayswaynl	fix(usv): refill missing flotilla role	https://github.com/rayswaynl/a2waspwarfare/pull/1545
1546	CONFLICTING	True	28/07/2026 05:18:16	28/07/2026 05:18:16	claude/trash-nullobj-sendtoclient-drop-20260728	master	rayswaynl	fix(gc): guard TrashObject remote-delete dispatch against null objects	https://github.com/rayswaynl/a2waspwarfare/pull/1546
1547	MERGEABLE	True	28/07/2026 05:26:15	28/07/2026 05:26:15	codex/guer-airdef-slice-chernarus-20260728	master	rayswaynl	fix(airdef): bound enemy-air scan slices	https://github.com/rayswaynl/a2waspwarfare/pull/1547
1548	MERGEABLE	True	28/07/2026 05:33:14	28/07/2026 05:33:14	codex/main-07260818-ap1-decap-gate-maprelative-20260728	master	rayswaynl	fix(aicom): map-scale DECAP enemy-town gate	https://github.com/rayswaynl/a2waspwarfare/pull/1548
1584	MERGEABLE	True	28/07/2026 19:06:20	28/07/2026 20:27:10	fable/west-jet-templates	release/wasp-aicom-recovery-20260727	rayswaynl	feat(aicom): add WEST fixed-wing team templates to USMC roster [flag WFBE_C_AICOM_WEST_JETS default 0]	https://github.com/rayswaynl/a2waspwarfare/pull/1584
1588	MERGEABLE	True	28/07/2026 19:19:53	28/07/2026 20:25:15	fable/airlift-v2	release/wasp-aicom-recovery-20260727	rayswaynl	feat(aicom): implement AICOM airlift LIFT at the in-loop delivery point [flag WFBE_C_AICOM_AIRLIFT_V2 default 0]	https://github.com/rayswaynl/a2waspwarfare/pull/1588
1589	MERGEABLE	True	28/07/2026 19:23:29	28/07/2026 20:29:43	fable/air-quickstart-v2	release/wasp-aicom-recovery-20260727	rayswaynl	feat(aicom): HC-safe single-team air quickstart at founding [flag WFBE_C_AICOM_AIR_QUICKSTART default 0]	https://github.com/rayswaynl/a2waspwarfare/pull/1589
1596	CONFLICTING	True	29/07/2026 06:03:35	01/08/2026 03:44:38	fable/hc-civ-magnet-20260729	master	rayswaynl	fix(hc): seat headless clients on CIV natively - swap HC slots to the lowest playable ids	https://github.com/rayswaynl/a2waspwarfare/pull/1596
1597	CONFLICTING	True	29/07/2026 08:43:43	29/07/2026 09:06:19	fable/townscan-dynrange-nilguard-20260729	master	rayswaynl	fix(townscan): nil-guard wfbe_active*/wfbe_active_air reads killing _dynRange (live RPT spam x169k)	https://github.com/rayswaynl/a2waspwarfare/pull/1597
1598	MERGEABLE	True	29/07/2026 09:13:06	29/07/2026 09:13:06	fable/teams-epilogue-nilguard-20260729	master	rayswaynl	fix(aicom): seed _eligible/_pick epilogue reads on the server-local founding path (live RPT x47 pairs)	https://github.com/rayswaynl/a2waspwarfare/pull/1598
1599	MERGEABLE	True	29/07/2026 19:43:56	29/07/2026 19:43:56	codex/string-formatting-bughunt-20260729	master	rayswaynl	fix(lint): ignore diagnostic STR labels	https://github.com/rayswaynl/a2waspwarfare/pull/1599
1600	CONFLICTING	True	29/07/2026 21:34:12	29/07/2026 21:34:12	fix/trash-nullobj-post-sleep-20260729	master	rayswaynl	fix(gc): re-null-check TrashObject after sleep / proximity hold	https://github.com/rayswaynl/a2waspwarfare/pull/1600
1602	MERGEABLE	True	29/07/2026 21:37:53	30/07/2026 04:42:26	fix/defense-reman-nullguard-20260729	release/wasp-aicom-recovery-20260727	rayswaynl	fix(defense): null-guard getPosATL + reman poll	https://github.com/rayswaynl/a2waspwarfare/pull/1602
1603	MERGEABLE	True	29/07/2026 22:28:00	29/07/2026 22:28:00	fix/aicom-cbr-research-restart-durable-20260729	master	rayswaynl	fix(aicom): durable CBR research latch across supervisor restart	https://github.com/rayswaynl/a2waspwarfare/pull/1603
1604	CONFLICTING	True	29/07/2026 22:36:30	29/07/2026 22:38:48	grok/alife-merge-leadership-disconnect-fix-on-master-20260729	master	rayswaynl	fix(aicom): disconnect-while-dead must not delete AI leadership successor	https://github.com/rayswaynl/a2waspwarfare/pull/1604
1605	CONFLICTING	True	29/07/2026 22:44:56	29/07/2026 22:44:56	fix/teamv2-unit-designer-ctrlshow	master	rayswaynl	fix(ui): TeamV2 Unit Designer tabs + global ctrlShow (A2 createDialog)	https://github.com/rayswaynl/a2waspwarfare/pull/1605
1606	MERGEABLE	True	29/07/2026 22:53:07	29/07/2026 22:53:07	codex/loadout-gear-bughunt-20260729	master	rayswaynl	fix: preserve respawn backpack cargo and EASA pricing	https://github.com/rayswaynl/a2waspwarfare/pull/1606
1607	MERGEABLE	True	29/07/2026 23:12:29	29/07/2026 23:12:29	fix/aicom-produce-sidecap-recheck-20260730	master	rayswaynl	fix(aicom): nil-safe buy-unit queue release so abort refunds always run	https://github.com/rayswaynl/a2waspwarfare/pull/1607
1608	CONFLICTING	True	29/07/2026 23:21:37	29/07/2026 23:21:37	fix/alife-knowsabout-reveal-crew-20260730	master	rayswaynl	fix(alife): knowsAbout crew expand + B5 reveal target + Man-only capture reveal	https://github.com/rayswaynl/a2waspwarfare/pull/1608
1609	CONFLICTING	True	29/07/2026 23:31:35	29/07/2026 23:31:35	fix/town-capture-ownership-bulk-camp-20260730	master	rayswaynl	fix(towns): capture ownership ΓÇö bulk camp SV heal + no bulk bounty	https://github.com/rayswaynl/a2waspwarfare/pull/1609
1610	MERGEABLE	True	29/07/2026 23:57:13	29/07/2026 23:57:13	fix/aicom-service-refuel-ground-20260730	master	rayswaynl	fix(aicom): service tick refuels ground hulls and detours on low fuel	https://github.com/rayswaynl/a2waspwarfare/pull/1610
1611	CONFLICTING	True	30/07/2026 00:05:44	30/07/2026 00:05:44	fix/alife-suppression-stance-20260730	master	rayswaynl	fix(alife): continuous SML retreat under fire + wheeled armor overwatch	https://github.com/rayswaynl/a2waspwarfare/pull/1611
1612	MERGEABLE	True	30/07/2026 00:15:01	30/07/2026 00:15:01	fix/ft-mobile-respawn-bughunt-20260730	master	rayswaynl	fix(ft/respawn): charge-after-success, start recheck, free-mode dedupe, mobile side gate	https://github.com/rayswaynl/a2waspwarfare/pull/1612
1614	MERGEABLE	True	30/07/2026 01:24:32	30/07/2026 01:24:32	codex/aicom-hqrange-fallback-20260730	master	rayswaynl	fix(aicom): enforce HQ range on fallback placement	https://github.com/rayswaynl/a2waspwarfare/pull/1614
1615	MERGEABLE	True	30/07/2026 01:27:28	30/07/2026 01:27:28	fix/alife-town-detect-hysteresis-20260730	master	rayswaynl	fix(alife): town detect range hysteresis (active 1.25x > idle 1x)	https://github.com/rayswaynl/a2waspwarfare/pull/1615
1616	MERGEABLE	True	30/07/2026 01:38:44	30/07/2026 01:38:44	fix/commander-election-vote-tally-latch-20260730	master	rayswaynl	fix(vote): election tally latch + ballot sanitize + claim/vote grant race	https://github.com/rayswaynl/a2waspwarfare/pull/1616
1617	MERGEABLE	True	30/07/2026 01:45:39	30/07/2026 01:45:39	fix/type-mismatch-queue-token-coercion-20260730	master	rayswaynl	fix(client): type-safe shared factory queue tokens (AI SCALAR vs player STRING)	https://github.com/rayswaynl/a2waspwarfare/pull/1617
1618	MERGEABLE	True	30/07/2026 02:12:56	30/07/2026 02:12:56	fix/aicom-createteam-turret-crew-20260730	master	rayswaynl	fix(aicom): man QUERYUNITTURRETS seats in Common_CreateTeam	https://github.com/rayswaynl/a2waspwarfare/pull/1618
1619	MERGEABLE	True	30/07/2026 02:27:11	30/07/2026 02:27:11	fix/supply-transport-cargo-bughunt-20260730	master	rayswaynl	fix(supply): cargo transfer world revalidation + deliverer + exitWith latch	https://github.com/rayswaynl/a2waspwarfare/pull/1619
1620	MERGEABLE	True	30/07/2026 02:38:10	30/07/2026 02:38:10	claude/guer-scud-cost-align-20260730	master	rayswaynl	fix(guer-drones): align GUER SCUD menu cost to the server charge (WFBE_C_SCUD_COST)	https://github.com/rayswaynl/a2waspwarfare/pull/1620
1621	MERGEABLE	True	30/07/2026 03:08:27	30/07/2026 03:08:27	fix/alife-ambient-event-triggers-20260730	master	rayswaynl	fix(alife): group-first teardown for ambient/wildcard event despawns	https://github.com/rayswaynl/a2waspwarfare/pull/1621
1622	MERGEABLE	True	30/07/2026 03:12:49	30/07/2026 03:12:49	fix/mission-core-disconnect-slot-20260730	master	rayswaynl	fix(jip): disconnect must not delete preserved AI team leader	https://github.com/rayswaynl/a2waspwarfare/pull/1622
1623	CONFLICTING	True	30/07/2026 03:16:25	30/07/2026 03:16:25	fix/sqf-randomness-nondeterminism-20260730	master	rayswaynl	fix(sqf): bound water waypoint redraws + uniform random index draws	https://github.com/rayswaynl/a2waspwarfare/pull/1623
1624	MERGEABLE	True	30/07/2026 04:04:53	30/07/2026 04:04:53	fix/aicom-config-param-ingest-20260730	master	rayswaynl	fix(aicom): config ingest ΓÇö paramsArray bounds, funds-sink lobby default, team-cap fallbacks	https://github.com/rayswaynl/a2waspwarfare/pull/1624
1625	MERGEABLE	True	30/07/2026 04:05:32	30/07/2026 04:08:45	fix/aicom-config-param-bughunt-20260730	master	rayswaynl	fix(aicom): gate AI_Com_Upgrade research on LINKS (UR-H1)	https://github.com/rayswaynl/a2waspwarfare/pull/1625
1626	MERGEABLE	True	30/07/2026 04:10:13	30/07/2026 04:10:13	fix/sqf-marker-object-leaks-20260730	master	rayswaynl	fix(markers): unique paraDZ names + ICBM strike marker pre-delete	https://github.com/rayswaynl/a2waspwarfare/pull/1626
1628	MERGEABLE	True	30/07/2026 04:20:07	30/07/2026 04:20:07	fix/sqf-eh-hygiene-20260730	master	rayswaynl	fix(sqf): eventhandler hygiene ΓÇö re-index-safe remove, no double Blink, skin restore	https://github.com/rayswaynl/a2waspwarfare/pull/1628
1629	MERGEABLE	True	30/07/2026 04:26:17	30/07/2026 04:26:17	fix/aicom-order-authority-20260730	master	rayswaynl	fix(aicom): order-dispatch authority ΓÇö commander/same-side binds for ai-command/request-unit/arty/focus/TeamUpdate	https://github.com/rayswaynl/a2waspwarfare/pull/1629
1630	CONFLICTING	True	30/07/2026 04:33:46	30/07/2026 04:33:46	fix/mission-core-pv-bounds-20260730	master	rayswaynl	fix(mission-core): PV handler bounds + enqueue/dequeue commander bind	https://github.com/rayswaynl/a2waspwarfare/pull/1630
1631	MERGEABLE	True	30/07/2026 04:34:45	30/07/2026 04:40:21	fix/alife-despawn-budget-20260730	master	rayswaynl	fix(alife): despawn budget integrity (HC shells + capture reclaim + GUER mid-sweep)	https://github.com/rayswaynl/a2waspwarfare/pull/1631
1632	MERGEABLE	True	30/07/2026 04:36:47	30/07/2026 04:36:47	fix/aicom-order-auth-siblings-20260730	master	rayswaynl	fix(aicom): order-dispatch authority ΓÇö same-side bind for reinforce/posture/fieldorder (siblings #1629 missed)	https://github.com/rayswaynl/a2waspwarfare/pull/1632
1633	MERGEABLE	True	30/07/2026 04:46:08	30/07/2026 09:42:32	fix/economy-funds-authority-g1606-20260730	master	rayswaynl	fix(economy): funds transfer/donation authority envelope + atomic debit	https://github.com/rayswaynl/a2waspwarfare/pull/1633
1636	MERGEABLE	True	30/07/2026 05:03:32	30/07/2026 09:42:33	fix/sqf-object-var-namespace-g1606-20260730	master	rayswaynl	fix(sqf): object/missionNamespace var pollution ΓÇö CBR registry, FPV PV, disconnect keys	https://github.com/rayswaynl/a2waspwarfare/pull/1636
1641	MERGEABLE	True	30/07/2026 05:42:03	30/07/2026 07:06:51	fix/buyunit-payload-authority-g1606-20260730	master	rayswaynl	fix(buyunit): factory/purchase PV authority ΓÇö FOB envelope, sell envelope, BuyUnit class/side/team	https://github.com/rayswaynl/a2waspwarfare/pull/1641
1655	MERGEABLE	True	30/07/2026 08:41:58	30/07/2026 08:41:58	claude/naval-cap-capture-teardown-20260730	master	rayswaynl	fix(alife): tear down GUER carrier CAP when the naval HVT is captured	https://github.com/rayswaynl/a2waspwarfare/pull/1655
1656	MERGEABLE	True	30/07/2026 09:05:24	30/07/2026 09:05:24	claude/gdir-suppress-timer-wire-20260730	master	rayswaynl	fix(gdir): wire dead post-wipe suppression timer (ledger[4] read at :220 but never written) [flag AICOMV2_GDIR_SUPPRESS_WIRE default 0]	https://github.com/rayswaynl/a2waspwarfare/pull/1656
1659	CONFLICTING	True	30/07/2026 10:27:44	30/07/2026 10:27:44	fix/sqf-coord-space-r25-20260730	master	rayswaynl	fix(sqf): coordinate-space - air 2D proximity + RadiusHold 2D ground-snap	https://github.com/rayswaynl/a2waspwarfare/pull/1659
1660	MERGEABLE	True	30/07/2026 10:39:51	30/07/2026 10:39:51	claude/alife-town-defender-skill-order-20260730	master	rayswaynl	fix(alife): town-defender scalar skill wiped sub-skill spread (setSkill order)	https://github.com/rayswaynl/a2waspwarfare/pull/1660
1661	MERGEABLE	True	30/07/2026 10:50:13	30/07/2026 10:50:13	claude/scudstrike-team-side-bind-20260730	master	rayswaynl	fix(support): carrier SCUD must debit the firing side's own wallet (team/side bind)	https://github.com/rayswaynl/a2waspwarfare/pull/1661
1662	CONFLICTING	True	30/07/2026 11:20:33	30/07/2026 11:20:33	fix/aicom-town-adjacency-topology-r26-20260730	master	rayswaynl	fix(aicom): topology - naval HVT is not ground-front-adjacent (r26)	https://github.com/rayswaynl/a2waspwarfare/pull/1662
1669	CONFLICTING	True	30/07/2026 14:27:26	30/07/2026 14:27:26	fable/hc-lobby-lock-mission-live-anchor-20260730	master	rayswaynl	fix(hc-lobby-lock): anchor the lobby-lock deadline on mission-live	https://github.com/rayswaynl/a2waspwarfare/pull/1669
1676	CONFLICTING	True	30/07/2026 15:18:42	30/07/2026 15:18:42	bughunt/construction-livecount-r31-20260730	master	rayswaynl	fix(mission-core): construction abort live-count rollback + AI live-inc + BuildingKilled bounds (r31)	https://github.com/rayswaynl/a2waspwarfare/pull/1676
1679	CONFLICTING	True	30/07/2026 15:49:45	30/07/2026 15:49:45	fix/getvar-setvar-public-jip-r30-20260730	master	rayswaynl	fix(sqf): getVariable fallback + setVariable public/JIP hygiene (r30)	https://github.com/rayswaynl/a2waspwarfare/pull/1679
1680	CONFLICTING	True	30/07/2026 16:02:10	30/07/2026 16:02:15	fix/createvehicle-crew-init-locality-grok1606-r32-20260730	master	rayswaynl	fix(sqf): createVehicle/crew init fail-clean + defense UnitsCreated hygiene (r32)	https://github.com/rayswaynl/a2waspwarfare/pull/1680
1682	CONFLICTING	True	30/07/2026 16:22:54	30/07/2026 16:22:54	fix/paraammo-uav-failclean-grok1606-r34-20260730	master	rayswaynl	fix(sqf): ammo paradrop + UAV create/crew fail-clean (r34)	https://github.com/rayswaynl/a2waspwarfare/pull/1682
1684	MERGEABLE	True	30/07/2026 16:33:24	30/07/2026 16:44:54	fix/alife-wakeup-cache-r32-20260730	master	rayswaynl	fix(alife): cached-group wakeup restores town patrol/defense fidelity (r32)	https://github.com/rayswaynl/a2waspwarfare/pull/1684
1686	CONFLICTING	True	30/07/2026 17:00:57	30/07/2026 17:00:57	fix/gdir-qrf-patrol-hqwreck-failclean-grok1606-r37-20260730	master	rayswaynl	fix(sqf): GDIR QRF create/crew + patrol convoy + airdef chute + HQ wreck fail-clean (r37)	https://github.com/rayswaynl/a2waspwarfare/pull/1686
1687	CONFLICTING	True	30/07/2026 17:18:48	30/07/2026 17:18:48	fix/paratroop-paravehi-defwall-usv-failclean-grok1606-r38-20260730	master	rayswaynl	fix(sqf): paratroop/paravehi create/crew + def wall + USV fail-clean (r38)	https://github.com/rayswaynl/a2waspwarfare/pull/1687
1692	CONFLICTING	True	30/07/2026 17:56:14	30/07/2026 17:56:14	fix/naval-camp-repair-cap-handledefense-failclean-grok1606-r40-20260730	master	rayswaynl	fix(sqf): camp repair + naval HVT SCUD/camps/CAP L39 + HandleDefense fail-clean (r40)	https://github.com/rayswaynl/a2waspwarfare/pull/1692
1699	CONFLICTING	True	30/07/2026 18:45:00	30/07/2026 19:59:53	fix/coin-headbug-rpgdrop-failclean-grok1606-r44-20260730	master	rayswaynl	fix(sqf): CoIn border/preview/helper + headbug Lada1 + DropRPG holder fail-clean (r44)	https://github.com/rayswaynl/a2waspwarfare/pull/1699
1700	CONFLICTING	True	30/07/2026 18:47:18	30/07/2026 19:59:54	fix/coin-headbug-rpgdrop-failclean-r44-20260730	master	rayswaynl	fix(sqf): CoIn border/preview/helper + headbug Lada1 + DropRPG WeaponHolder fail-clean (r44)	https://github.com/rayswaynl/a2waspwarfare/pull/1700
1715	MERGEABLE	True	30/07/2026 20:42:13	30/07/2026 20:42:13	fix/spectator-observer-camera-lifecycle-r36-g1606	master	rayswaynl	fix(mission-core): death/observer camera lifecycle teardown residuals (r36)	https://github.com/rayswaynl/a2waspwarfare/pull/1715
1718	CONFLICTING	True	30/07/2026 21:19:33	30/07/2026 21:19:33	fix/alife-dropped-gear-weaponholder-loot-persistence-r37-20260730	master	rayswaynl	fix(alife): weaponholder loot persistence ΓÇö locality + min-age + prox hold (r37)	https://github.com/rayswaynl/a2waspwarfare/pull/1718
1723	CONFLICTING	True	30/07/2026 22:55:01	30/07/2026 22:55:01	fix/droppeditems-ruins-hqkill-sortie-defops-failclean-grok1606-r55-20260731	master	rayswaynl	fix(sqf): droppeditems/ruins cleaners + HQ kill + sortie + def-ops fail-clean (r55)	https://github.com/rayswaynl/a2waspwarfare/pull/1723
1726	CONFLICTING	True	30/07/2026 23:28:09	30/07/2026 23:28:09	fix/townai-airresp-groupsgc-produce-trash-failclean-grok1606-r56-20260731	master	rayswaynl	fix(sqf): townAI cleanup + AirResp + groupsGC + Produce + Trash fail-clean (r56)	https://github.com/rayswaynl/a2waspwarfare/pull/1726
1738	MERGEABLE	True	31/07/2026 02:18:40	31/07/2026 02:18:40	fix/alife-rally-regroup-r61-g1606-20260731	master	rayswaynl	fix(alife): rally regroup hold + live dest revalidation (r61)	https://github.com/rayswaynl/a2waspwarfare/pull/1738
1750	CONFLICTING	True	31/07/2026 04:40:59	31/07/2026 04:40:59	fix/alife-corpse-wreck-reap-r66-g1606-20260731	master	rayswaynl	fix(alife): corpse/wreck reap integrity ΓÇö dead-crew purge + airlift requeue (r66)	https://github.com/rayswaynl/a2waspwarfare/pull/1750
1757	CONFLICTING	True	31/07/2026 05:59:53	31/07/2026 05:59:53	fix/aicom-paradrop-tasking-objective-r70-g1606-20260731	master	rayswaynl	fix(aicom): paradrop tasking ΓÇö AI CD release + objective rebind (r70)	https://github.com/rayswaynl/a2waspwarfare/pull/1757
1758	CONFLICTING	True	31/07/2026 06:02:27	31/07/2026 06:02:27	fix/mission-teamswap-join-failclosed-r70-g1606-20260731	master	rayswaynl	fix(mission-core): teamswap join fail-closed + RequestJoin null/target (r70)	https://github.com/rayswaynl/a2waspwarfare/pull/1758
1759	MERGEABLE	True	31/07/2026 06:11:43	31/07/2026 06:11:43	claude/fix-icbm-radiation-player-locality-r69-20260731	master	rayswaynl	Fix ICBM radiation dealing zero damage to players (locality)	https://github.com/rayswaynl/a2waspwarfare/pull/1759
1764	MERGEABLE	True	31/07/2026 06:55:43	31/07/2026 06:55:43	fix/mission-vote-commander-authority-r71-g1606-20260731	master	rayswaynl	fix(mission-core): vote/commander authority ΓÇö income percent PVF + transfer bind (r71)	https://github.com/rayswaynl/a2waspwarfare/pull/1764
1765	MERGEABLE	True	31/07/2026 06:56:44	31/07/2026 06:56:44	fix/sqf-crew-seat-getin-getout-r71b-g1606-20260731	master	rayswaynl	fix(sqf): vehicle crew seat getIn/getOut lifecycle integrity (r71b)	https://github.com/rayswaynl/a2waspwarfare/pull/1765
1766	MERGEABLE	True	31/07/2026 07:01:07	31/07/2026 07:01:07	fix/aicom-hqstrike-recall-order-r72-g1606-20260731	master	rayswaynl	fix(aicom): HC order rebind on HQ-strike edge-lost recall (r72)	https://github.com/rayswaynl/a2waspwarfare/pull/1766
1767	CONFLICTING	True	31/07/2026 07:06:53	31/07/2026 07:06:53	fix/sqf-loadout-equip-null-r72b-g1606-20260731	master	rayswaynl	fix(sqf): loadout equip null integrity ΓÇö EquipUnit/Backpack/Vehicle + EASA + custom gear (r72b)	https://github.com/rayswaynl/a2waspwarfare/pull/1767
1768	CONFLICTING	True	31/07/2026 07:07:15	31/07/2026 07:07:15	claude/jip-repush-hq-repair-avg-r71	master	rayswaynl	fix(mission-core): JIP re-push WFBE_HQ_REPAIR_AVG_SEC for correct MHQ repair-cost scaling on late joiners (r71)	https://github.com/rayswaynl/a2waspwarfare/pull/1768
1769	MERGEABLE	True	31/07/2026 07:11:25	31/07/2026 07:11:25	fix/aicom-order-behaviour-formation-speed-r72-g1606-20260731	claude/build84-cmdcon36	rayswaynl	fix(aicom): order behaviour/formation/speed mode assignment integrity (r72)	https://github.com/rayswaynl/a2waspwarfare/pull/1769
1770	MERGEABLE	True	31/07/2026 07:23:42	31/07/2026 07:23:42	fix/sqf-radio-marker-waypoint-chat-r73b-g1606-20260731	master	rayswaynl	fix(sqf): radio SideMessage + map marker text + waypoint type + chat/CM fail-clean (r73b)	https://github.com/rayswaynl/a2waspwarfare/pull/1770
1771	MERGEABLE	True	31/07/2026 07:25:21	31/07/2026 07:25:21	claude/aicom-air-posture-aipatrol-clobber-r72	master	rayswaynl	fix(aicom): apply COMBAT/RED air posture AFTER AIPatrol (W13/W22/PatrolAirPass) (r72)	https://github.com/rayswaynl/a2waspwarfare/pull/1771
1772	CONFLICTING	True	31/07/2026 07:27:37	31/07/2026 07:27:37	fix/mission-halo-airborne-state-r72-g1606-20260731	master	rayswaynl	fix(mission-core): player HALO occupant gate + landing invuln (r72)	https://github.com/rayswaynl/a2waspwarfare/pull/1772
1773	CONFLICTING	True	31/07/2026 07:29:35	31/07/2026 07:30:43	fix/mission-parachute-airborne-r72-g1606-20260731	master	rayswaynl	fix(mission-core): player parachute/HALO airborne state integrity (r72)	https://github.com/rayswaynl/a2waspwarfare/pull/1773
1775	MERGEABLE	True	31/07/2026 07:44:21	31/07/2026 07:44:21	fix/sqf-player-vehicle-utility-actions-r74-g1606-20260731	master	rayswaynl	fix(sqf): player vehicle utility actions fail-clean (push/taxi/IR/sell/flip r74)	https://github.com/rayswaynl/a2waspwarfare/pull/1775
1776	MERGEABLE	True	31/07/2026 07:53:15	31/07/2026 07:53:15	fix/sqf-player-construction-service-actions-r75-g1606-20260731	master	rayswaynl	fix(sqf): player construction/service actions fail-clean (cancel/eject/MHQ/build r75)	https://github.com/rayswaynl/a2waspwarfare/pull/1776
